Fighter,Wins,Losses,KOs,KO_Losses,First_KO_Loss_Date,Post_KO_Win_%
Frank Klaus,2,1,0,1,1913-10-11,0.0
Georges Carpentier,2,3,2,2,1921-07-02,33.33333333333333
Jack Johnson,2,1,0,1,1915-04-05,0.0
Fireman Jim Flynn,0,1,0,0,,
Bob Moha,1,1,0,0,,
Cyclone Johnny Thompson,0,1,0,0,,
Billy Papke,0,1,0,0,,
Sid Smith,1,1,0,0,,
Eugene Criqui,1,3,1,0,,
Frank Bradley,1,0,0,0,,
Johnny Coulon,1,2,0,1,1914-06-09,0.0
Bill Ladbury,1,1,0,0,,
Willie Ritchie,4,2,1,0,,
Mexican Joe Rivers,0,1,0,1,1913-07-04,0.0
George Chip,6,1,2,1,1914-04-07,50.0
Tim O'Neil,0,2,0,1,1914-01-19,0.0
Gus Christie,0,1,0,0,,
Young Sinnett,0,1,0,0,,
Percy Jones,2,1,0,0,,
Joe Borrell,0,1,0,0,,
Ad Wolgast,0,2,0,0,,
Al McCoy,1,7,1,1,1917-11-14,0.0
Harlem Tommy Murphy,0,1,0,0,,
Joe Symonds,2,1,1,0,,
Charley White,2,2,0,0,,
Kid Williams,5,2,1,0,,
Jack Dillon,5,1,1,0,,
Frank Moran,0,2,0,0,,
Freddie Welsh,12,4,0,1,1917-05-28,0.0
Frank Mantell,0,1,0,0,,
Matty Baldwin,0,1,0,0,,
Charley Weinert,0,2,0,1,1914-11-09,0.0
Young Abe Brown,0,1,0,0,,
Tancy Lee,1,2,1,2,1915-10-18,0.0
Jimmy Wilde,10,2,4,2,1915-01-25,83.33333333333334
Jimmy Anderson,0,1,0,0,,
Jess Willard,2,1,1,0,,
Billy Wagner,0,1,0,0,,
Jimmy Clabby,1,0,0,0,,
Frankie Fleming,0,1,0,0,,
Jimmy Murray,0,1,0,0,,
Jimmy Taylor,0,1,0,0,,
Young Ahearn,2,0,0,0,,
Johnny Ertle,1,1,0,1,1919-05-23,0.0
Johnny O'Leary,0,1,0,0,,
Silent Martin,1,0,0,0,,
Benny Leonard,10,1,5,0,,
Johnny Rosner,0,1,0,0,,
Battling Levinsky,1,2,0,1,1920-10-12,0.0
Billy Bevan,0,1,0,0,,
Johnny Hughes,0,1,0,1,1916-07-31,0.0
Johnny Kilbane,2,1,2,1,1923-06-02,0.0
George KO Chaney,0,2,0,2,1916-09-04,0.0
Dick Loadman,0,1,0,0,,
Harry Anderson,0,1,0,0,,
Young Zulu Kid,0,1,0,0,,
Pete Herman,7,5,2,0,,
George Clark,0,1,0,1,1917-03-12,0.0
Battling Nelson,0,1,0,0,,
Leo Johnson,0,1,0,1,1917-09-21,0.0
Frankie Burns,0,1,0,0,,
Mike O'Dowd,10,2,3,0,,
Billy Kramer,0,2,0,1,1919-11-06,0.0
Dick Heasman,0,1,0,0,,
Jack Britton,9,1,1,0,,
Ted Kid Lewis,0,5,0,2,1919-03-17,0.0
Patsy Wallace,0,2,0,0,,
Johnny Solzberg,0,1,0,0,,
Joe Welling,0,2,0,1,1920-11-26,0.0
Terry McHugh,1,0,0,0,,
Jack Dempsey,6,2,4,0,,
Jackie Clark,0,1,0,0,,
Jackie Sharkey,2,3,0,0,,
Soldier Bartfield,0,2,0,0,,
Johnny Tillman,0,2,0,0,,
Jimmy O'Hagan,0,1,0,1,1919-11-10,0.0
Lockport Jimmy Duffy,0,1,0,1,1919-11-17,0.0
Mike Gibbons,0,1,0,0,,
Kid Regan,0,1,0,1,1919-12-04,0.0
Frankie Mason,0,1,0,0,,
Augie Ratner,0,1,0,0,,
Battling Al Murray,0,1,0,1,1920-04-21,0.0
Johnny Wilson,4,2,1,0,,
Johnny Griffiths,0,1,0,0,,
Young Joe Borrell,0,1,0,0,,
Billy Miske,0,1,0,1,1920-09-06,0.0
Bill Brennan,0,1,0,1,1920-12-14,0.0
Joe Lynch,7,2,3,0,,
Richie Mitchell,0,1,0,1,1921-01-14,0.0
Navy Rostan,0,1,0,1,1921-02-10,0.0
Young Montreal,0,1,0,0,,
Rocky Kansas,1,3,0,0,,
Danny Frush,0,2,0,2,1921-09-17,0.0
Johnny Buff,2,1,0,1,1922-07-10,0.0
Johnny Dundee,7,4,2,0,,
Lew Tendler,0,3,0,0,,
Dave Rosenberg,1,1,0,0,,
Phil Krug,0,1,0,0,,
Frankie Murray,0,1,0,1,1922-08-21,0.0
Vincent (Pepper) Martin,0,3,0,0,,
Battling Siki,1,1,1,0,,
Mickey Walker,12,4,2,0,,
Benny Schwartz,0,2,0,1,1922-11-24,0.0
Midget Smith,0,1,0,0,,
Elino Flores,0,1,0,0,,
Mike McTigue,2,4,0,0,,
Pete Latzo,3,4,1,0,,
Joe O'Donnell,0,1,0,0,,
Jack Bernstein,2,1,1,0,,
Pancho Villa,4,0,1,0,,
Tommy Loughran,8,2,0,0,,
Freddie Jacks,0,1,0,1,1923-06-25,0.0
Tommy Gibbons,0,1,0,0,,
Jimmy Jones,1,0,0,0,,
Dave Shade,0,2,0,0,,
Harry Greb,5,2,0,0,,
Luis Angel Firpo,0,1,0,1,1923-09-14,0.0
Abe Goldstein,5,1,0,0,,
Joe Burman,0,1,0,0,,
Bryan Downey,0,1,0,0,,
Clarence Rosen,0,1,0,0,,
Frankie Ash,0,1,0,0,,
Steve Sullivan,3,3,1,1,1926-06-03,0.0
Ted Moore,0,1,0,0,,
Charles Ledoux,0,1,0,0,,
Tommy Ryan,0,1,0,0,,
Bobby Barrett,0,1,0,1,1924-10-01,0.0
Mike Ballerino,3,2,0,2,1924-10-15,60.0
Eddie Martin,2,3,0,0,,
Kid Kaplan,3,0,2,0,,
Danny Kramer,0,1,0,1,1925-01-02,0.0
Willie Spencer,0,1,0,0,,
Charlie Phil Rosenberg,3,0,1,0,,
Clever Sencio,0,1,0,0,,
Paul Berlenbach,4,1,1,0,,
Jimmy Goodrich,1,1,1,0,,
Stanislaus Loayza,0,1,0,1,1925-07-13,0.0
Eddie Shea,1,2,0,1,1925-07-23,33.33333333333333
Fidel LaBarba,3,2,0,0,,
Frankie Genaro,9,3,2,2,1929-03-02,75.0
Jimmy Slattery,2,4,0,1,1925-09-11,33.33333333333333
Sailor Friedman,0,1,0,0,,
Tod Morgan,11,2,2,1,1929-12-20,0.0
Jack Delaney,2,1,1,0,,
Babe Herman,0,1,0,0,,
Tiger Flowers,2,1,0,0,,
Young Stribling,0,2,0,1,1931-07-03,0.0
Bobby Garcia,0,1,0,1,1926-06-28,0.0
Willie Harmon,0,1,0,1,1926-06-29,0.0
Sammy Mandell,6,1,0,1,1930-07-17,0.0
Georgie Rivers,0,1,0,0,,
George Levine,0,1,0,0,,
Mushy Callahan,4,1,2,1,1930-02-18,0.0
Pinky Mitchell,0,1,0,0,,
Gene Tunney,3,0,1,0,,
Joe Glick,0,4,0,0,,
Joe Jawson,0,1,0,0,,
Clausine Vincent,0,1,0,0,,
Carl Duane,0,1,0,0,,
Jamaica Kid,0,1,0,1,1926-12-10,0.0
Elky Clark,0,1,0,0,,
Bushy Graham,1,1,0,0,,
Andy DiVodi,0,1,0,1,1927-03-14,0.0
Vic Foley,0,1,0,0,,
Spug Myers,0,1,0,0,,
Joe Dundee,2,1,0,0,,
Bud Taylor,1,0,0,0,,
Tony Canzoneri,11,9,2,0,,
Tommy Milligan,0,1,0,1,1927-06-30,0.0
Billy Drako,0,1,0,0,,
Phil McGraw,0,1,0,0,,
Maxie Rosenbloom,7,2,2,0,,
Benny Bass,4,3,2,1,1931-07-15,0.0
Red Chapman,0,1,0,0,,
Pinky Silverberg,1,0,0,0,,
Ruby Bradley,0,2,0,0,,
Corporal Izzy Schwartz,6,2,2,0,,
Newsboy Brown,0,1,0,0,,
Frenchy Belanger,1,4,0,0,,
Ernie Jarvis,0,2,0,0,,
Leo Lomski,0,1,0,0,,
Routier Parra,0,1,0,0,,
Jimmy McLarnin,2,3,1,0,,
Jock Malone,0,1,0,0,,
Ace Hudkins,0,2,0,0,,
Frisco Grande,0,2,0,1,1928-08-31,0.0
